cena,km,rok,stari,combi,benzin,diesel,LPG,felicia,octavia,superb,km1000,cena1000
125000,83000,1998,6,1,1,0,0,1,0,0,83,125
99900,207993,1995,9,0,1,0,0,1,0,0,207.993,99.9
139000,33000,2000,4,0,1,0,0,1,0,0,33,139
194000,123000,1997,7,0,1,0,0,0,1,0,123,194
339999,53865,2001,3,0,1,0,0,0,1,0,53.865,339.999
70000,122716,1996,8,1,1,0,0,1,0,0,122.716,70
239000,102000,1998,6,1,1,0,0,0,1,0,102,239
949000,14327,2003,1,0,0,1,0,0,0,1,14.327,949
239900,136000,1998,6,0,0,1,0,0,1,0,136,239.9
139000,80000,1999,5,1,1,0,0,1,0,0,80,139
650000,17000,2002,2,0,1,0,0,0,0,1,17,650
244900,98000,1998,6,0,0,1,0,0,1,0,98,244.9
205000,72589,1998,6,0,1,0,0,0,1,0,72.589,205
129900,166692,1998,6,0,1,0,0,1,0,0,166.692,129.9
207000,105000,2000,4,0,1,0,0,0,1,0,105,207
229000,152000,1998,6,0,0,1,0,0,1,0,152,229
83000,86886,1995,9,0,1,0,0,1,0,0,86.886,83
125000,90150,1999,5,0,1,0,0,1,0,0,90.15,125
934000,8825,2002,2,0,0,1,0,0,0,1,8.825,934
362900,53865,2003,1,0,0,1,0,0,1,0,53.865,362.9
139000,56056,1998,6,0,1,0,0,1,0,0,56.056,139
949000,18600,2002,2,0,1,0,0,0,0,1,18.6,949
155000,93854,1998,6,0,0,1,0,1,0,0,93.854,155
385000,132858,1999,5,0,0,1,0,0,1,0,132.858,385
699000,5900,2002,2,1,0,1,0,0,1,0,5.9,699
114000,230000,1997,7,0,0,1,0,1,0,0,230,114
199900,126057,1997,7,0,0,0,1,0,1,0,126.057,199.9
179000,166300,1998,6,0,1,0,0,0,1,0,166.3,179
157800,14000,2000,4,0,1,0,0,1,0,0,14,157.8
138000,125000,1996,8,1,1,0,0,1,0,0,125,138
129000,152432,1996,8,0,1,0,0,1,0,0,152.432,129
339000,85361,2000,4,0,0,1,0,0,1,0,85.361,339
129000,70000,1998,6,0,1,0,0,1,0,0,70,129
129900,110438,1998,6,0,1,0,0,1,0,0,110.438,129.9
109000,96000,1998,6,0,1,0,0,1,0,0,96,109
125000,142680,1996,8,0,0,1,0,1,0,0,142.68,125
104000,115500,1995,9,0,1,0,0,1,0,0,115.5,104
109900,134173,1995,9,0,1,0,0,1,0,0,134.173,109.9
279900,71371,1999,5,0,1,0,0,0,1,0,71.371,279.9
465000,24958,2002,2,0,0,1,0,0,1,0,24.958,465
99000,82000,1997,7,0,1,0,0,1,0,0,82,99
109000,140000,1998,6,0,1,0,0,1,0,0,140,109
399900,68000,2001,3,0,0,1,0,0,1,0,68,399.9
149000,42000,1998,6,0,1,0,0,1,0,0,42,149
175000,105000,1998,6,0,1,0,0,0,1,0,105,175
286000,134600,1999,5,0,1,0,0,0,1,0,134.6,286
380000,32000,2001,3,0,0,1,0,0,1,0,32,380
89900,138000,1995,9,0,1,0,0,1,0,0,138,89.9
786400,5000,2003,1,0,1,0,0,0,0,1,5,786.4
135000,213457,1995,9,0,0,0,1,1,0,0,213.457,135
85000,165666,1995,9,0,1,0,0,1,0,0,165.666,85
148000,127030,1996,8,1,1,0,0,1,0,0,127.03,148
169000,34125,2000,4,0,1,0,0,1,0,0,34.125,169
195000,157000,1997,7,0,1,0,0,0,1,0,157,195
135000,84247,1997,7,0,1,0,0,1,0,0,84.247,135
169900,125740,2001,3,0,1,0,0,1,0,0,125.74,169.9
120000,167618,1998,6,1,1,0,0,1,0,0,167.618,120
248000,69960,1999,5,0,0,1,0,0,1,0,69.96,248
212000,126300,1999,5,0,1,0,0,0,1,0,126.3,212
177000,147450,1997,7,0,1,0,0,0,1,0,147.45,177
85900,152432,1996,8,0,1,0,0,1,0,0,152.432,85.9
220000,68000,1998,6,0,1,0,0,0,1,0,68,220
109800,57000,1996,8,0,1,0,0,1,0,0,57,109.8
124000,121368,1997,7,0,0,1,0,1,0,0,121.368,124
349000,28030,2002,2,0,1,0,0,0,1,0,28.03,349
99000,93100,1996,8,0,1,0,0,1,0,0,93.1,99
110000,103251,1996,8,0,1,0,0,1,0,0,103.251,110
90000,111500,1996,8,1,1,0,0,1,0,0,111.5,90
431000,110,2003,1,0,0,1,0,0,1,0,0.11,431
479900,23173,2002,2,0,1,0,0,0,1,0,23.173,479.9
539000,19081,2003,1,1,0,1,0,0,1,0,19.081,539
139900,123960,1997,7,0,0,1,0,1,0,0,123.96,139.9
99900,146297,1996,8,0,1,0,0,1,0,0,146.297,99.9
195000,101274,1998,6,0,1,0,0,0,1,0,101.274,195
179000,114655,1998,6,0,1,0,0,0,1,0,114.655,179
155000,34401,1999,5,0,1,0,0,1,0,0,34.401,155
588000,21184,2002,2,0,1,0,0,0,1,0,21.184,588
639000,9174,2003,1,1,0,1,0,0,1,0,9.174,639
519000,28537,2002,2,0,0,1,0,0,1,0,28.537,519
85000,214485,1995,9,0,1,0,0,1,0,0,214.485,85
109900,58288,1997,7,0,1,0,0,1,0,0,58.288,109.9
459000,13200,2002,2,0,0,1,0,0,1,0,13.2,459
579000,17380,2003,1,1,0,1,0,0,1,0,17.38,579
329000,34000,2000,4,0,0,1,0,0,1,0,34,329
177700,137000,1997,7,0,1,0,0,0,1,0,137,177.7
165000,48690,2000,4,0,1,0,0,1,0,0,48.69,165
169000,78568,1999,5,1,0,1,0,1,0,0,78.568,169
289000,106000,2000,4,1,0,1,0,0,1,0,106,289
136000,137000,1998,6,1,1,0,0,1,0,0,137,136
195000,111074,1998,6,0,1,0,0,0,1,0,111.074,195
125000,110435,1999,5,0,1,0,0,1,0,0,110.435,125
179000,118500,1996,8,0,1,0,0,0,1,0,118.5,179
449900,53865,2001,3,0,0,1,0,0,1,0,53.865,449.9
92000,83390,1996,8,0,1,0,0,1,0,0,83.39,92
112000,102000,2000,4,0,1,0,0,1,0,0,102,112
129000,116694,1999,5,0,1,0,0,1,0,0,116.694,129
339000,78309,2000,4,0,0,1,0,0,1,0,78.309,339
549000,18000,2002,2,0,1,0,0,0,1,0,18,549
275000,49964,2001,3,0,1,0,0,0,1,0,49.964,275
269000,94409,1998,6,0,0,1,0,0,1,0,94.409,269
995000,3708,2002,2,0,0,1,0,0,0,1,3.708,995
115000,106609,1998,6,0,1,0,0,1,0,0,106.609,115
93000,118000,1995,9,0,1,0,0,1,0,0,118,93
158000,80973,1999,5,0,1,0,0,1,0,0,80.973,158
132000,46000,1997,7,0,1,0,0,1,0,0,46,132
339000,99000,2000,4,1,0,1,0,0,1,0,99,339
129000,102000,1999,5,0,1,0,0,1,0,0,102,129
285000,85000,1999,5,1,0,1,0,0,1,0,85,285
119900,82464,1996,8,0,1,0,0,1,0,0,82.464,119.9
89900,179796,1995,9,0,1,0,0,1,0,0,179.796,89.9
136000,72000,1998,6,0,1,0,0,1,0,0,72,136
346000,138000,2001,3,1,0,1,0,0,1,0,138,346
315000,101000,1999,5,0,0,1,0,0,1,0,101,315
99900,125398,1996,8,0,1,0,0,1,0,0,125.398,99.9
138000,128350,1998,6,0,1,0,0,1,0,0,128.35,138
168800,65000,1998,6,1,1,0,0,1,0,0,65,168.8
579000,1150,2002,2,0,1,0,0,0,0,1,1.15,579
145000,80825,1999,5,1,1,0,0,1,0,0,80.825,145
85000,133500,1996,8,1,1,0,0,1,0,0,133.5,85
275000,112847,1999,5,0,0,1,0,0,1,0,112.847,275
99900,140693,1995,9,0,1,0,0,1,0,0,140.693,99.9
219000,96000,1998,6,0,1,0,0,0,1,0,96,219
147000,59090,2000,4,0,1,0,0,1,0,0,59.09,147
269000,1595,2000,4,0,1,0,0,0,1,0,1.595,269
269000,47000,2000,4,0,1,0,0,0,1,0,47,269
159800,47000,1998,6,1,1,0,0,1,0,0,47,159.8
126000,121000,1998,6,0,1,0,0,1,0,0,121,126
385000,140000,2001,3,0,0,1,0,0,1,0,140,385
199900,143244,1997,7,0,1,0,0,0,1,0,143.244,199.9
109900,154992,1995,9,0,1,0,0,1,0,0,154.992,109.9
149000,93200,2000,4,0,0,1,0,1,0,0,93.2,149
99900,89691,1995,9,0,1,0,0,1,0,0,89.691,99.9
630000,35000,2002,2,0,1,0,0,0,0,1,35,630
119000,73000,1997,7,0,1,0,0,1,0,0,73,119
136750,136750,1998,6,1,0,1,0,1,0,0,136.75,136.75
239900,120980,1997,7,0,0,1,0,0,1,0,120.98,239.9
109900,146665,1997,7,0,1,0,0,1,0,0,146.665,109.9
299000,50377,2000,4,0,1,0,0,0,1,0,50.377,299
259000,68000,2000,4,0,1,0,0,0,1,0,68,259
359000,95714,2001,3,0,1,0,0,0,1,0,95.714,359
129000,152432,1996,8,0,1,0,0,1,0,0,152.432,129
239000,88000,2000,4,0,1,0,0,0,1,0,88,239
519000,14413,2003,1,1,1,0,0,0,1,0,14.413,519
349000,89000,2001,3,1,0,1,0,0,1,0,89,349
95000,131000,1995,9,0,1,0,0,1,0,0,131,95
109900,100000,1996,8,1,1,0,0,1,0,0,100,109.9
141000,69000,1997,7,1,1,0,0,1,0,0,69,141
79000,110000,1996,8,1,1,0,0,1,0,0,110,79
95000,121000,1997,7,0,1,0,0,1,0,0,121,95
179000,139000,1997,7,0,1,0,0,0,1,0,139,179
579000,9368,2002,2,1,0,1,0,0,1,0,9.368,579
271000,179000,1999,5,1,1,0,0,0,1,0,179,271
84990,107070,1996,8,1,1,0,0,1,0,0,107.07,84.99
639000,19587,2003,1,0,0,1,0,0,0,1,19.587,639
146000,51000,2000,4,0,1,0,0,1,0,0,51,146
295000,72000,1999,5,0,0,1,0,0,1,0,72,295
99900,132524,1995,9,0,1,0,0,1,0,0,132.524,99.9
155000,57420,2000,4,0,1,0,0,1,0,0,57.42,155
549000,19153,2002,2,1,0,1,0,0,1,0,19.153,549
138000,91000,1997,7,0,0,1,0,1,0,0,91,138
173000,165900,1997,7,0,1,0,0,0,1,0,165.9,173
849000,16295,2003,1,0,0,1,0,0,0,1,16.295,849
239000,33000,1999,5,0,1,0,0,0,1,0,33,239
439000,78000,2001,3,1,0,1,0,0,1,0,78,439
135000,101652,1995,9,1,1,0,0,1,0,0,101.652,135
315000,178077,2000,4,1,0,1,0,0,1,0,178.077,315
129999,75666,1998,6,0,1,0,0,1,0,0,75.666,129.999
199900,133368,1998,6,0,0,0,1,0,1,0,133.368,199.9
129800,62000,1997,7,1,1,0,0,1,0,0,62,129.8
132000,33000,1995,9,0,1,0,0,1,0,0,33,132
224000,106200,1999,5,1,1,0,0,0,1,0,106.2,224
189900,43195,1996,8,0,1,0,0,0,1,0,43.195,189.9
75000,96000,1995,9,0,1,0,0,1,0,0,96,75
99900,68641,1996,8,0,1,0,0,1,0,0,68.641,99.9
99900,192548,1996,8,0,1,0,0,1,0,0,192.548,99.9
529000,8949,2003,1,0,1,0,0,0,1,0,8.949,529
185000,195000,1998,6,0,1,0,0,0,1,0,195,185
155000,103923,1999,5,0,0,1,0,1,0,0,103.923,155
125000,110000,1997,7,1,1,0,0,1,0,0,110,125
144800,58000,1998,6,0,1,0,0,1,0,0,58,144.8
419999,53865,2003,1,0,1,0,0,0,1,0,53.865,419.999
199000,165000,1999,5,0,1,0,0,0,1,0,165,199
550000,25000,2002,2,0,1,0,0,0,1,0,25,550
479000,20712,2002,2,0,0,1,0,0,1,0,20.712,479
149000,89883,1997,7,1,0,1,0,1,0,0,89.883,149
199900,102865,1999,5,0,1,0,0,0,1,0,102.865,199.9
259900,68297,1997,7,0,0,1,0,0,1,0,68.297,259.9
440000,29184,2002,2,0,0,1,0,0,1,0,29.184,440
597000,32736,2002,2,1,1,0,0,0,1,0,32.736,597
220000,100006,2000,4,0,1,0,0,0,1,0,100.006,220
115000,122781,1996,8,0,1,0,0,1,0,0,122.781,115
455000,73622,2000,4,1,1,0,0,0,1,0,73.622,455
109900,144081,1997,7,0,1,0,0,1,0,0,144.081,109.9
80000,128073,1996,8,1,1,0,0,1,0,0,128.073,80
